İLK 11

Ertuğrul Taşkıran | GK | 36 | 7.1 M € | Turkey
Ümit Akdağ | CB | 22 | 11.0 M € | Romania
Nuno Lima | CB | 25 | 8.5 M € | Portugal
Fatih Aksoy | CB | 28 | 8.2 M € | Turkey
Fidan Aliti | CB | 32 | 7.9 M € | Kosovo
Florent Hadergjonaj | RB | 31 | 8.5 M € | Kosovo
Maestro | DM | 22 | 14.0 M € | Angola
Gaius Makouta | DM | 28 | 9.0 M € | Congo
Ianis Hagi | CAM | 27 | 8.8 M € | Romania
Meschack Elia | LW | 28 | 9.0 M € | DR Congo
Steve Mounié | ST | 31 | 8.8 M € | Benin

YEDEK KULÜBESİ

Paulo Victor | GK | 39 | 2.1 M € | Brazil
Bruno Viana | CB | 31 | 2.6 M € | Brazil
Batuhan Yavuz | RB | 20 | 2.1 M € | Turkey
Nicolas Janvier | CM | 27 | 2.7 M € | France
İzzet Çelik | CM | 21 | 2.3 M € | Turkey
Buluthan Bulut | CM | 23 | 2.1 M € | Turkey
Enes Keskin | RM | 24 | 2.4 M € | Turkey
Ruan | LM | 20 | 4.0 M € | Brazil
Baran Moğultay | LM | 21 | 2.2 M € | Turkey
Yusuf Özdemir | LM | 25 | 2.2 M € | Turkey
İbrahim Kaya | CAM | 25 | 3.0 M € | Turkey
Ui-jo Hwang | CAM | 33 | 2.5 M € | South Korea
Efecan Karaca | CAM | 36 | 2.1 M € | Turkey
Yusuf Can Karademir | CAM | 18 | 2.1 M € | Turkey
Güven Yalçın | ST | 27 | 3.0 M € | Turkey
