İLK 11

Matija Orbanic | GK | 25 | 5.9 mil. € | Croatia
Yakup Kırtay | CB | 22 | 6 mil. € | Turkey
Amar Gerxhaliu | CB | 23 | 5.6 mil. € | Kosovo
Guram Giorbelidze | LB | 30 | 5.35 mil. € | Georgia
Ali Ülgen | RB | 26 | 5.4 mil. € | Turkey
Brandon Baiye | DM | 25 | 6 mil. € | Belgium
Sefa Akgün | CM | 25 | 5.8 mil. € | Turkey
Giovanni Crociata | CM | 28 | 5.55 mil. € | Italy
Mustafa Fettahoğlu | LW | 25 | 6 mil. € | Turkey
Benhur Keser | RW | 29 | 5.7 mil. € | Turkey
Eren Tozlu | ST | 35 | 5.1 mil. € | Turkey

YEDEK KULÜBESİ

Kağan Moradaoğlu | GK | 23 | -1900 Bin € | Turkey
Erkan Anapa | GK | 28 | -1900 Bin € | Turkey
Şerefhan Sağlık | GK | 21 | - | Turkey
Ömer Arda Kara | CB | 18 | -1900 Bin € | Turkey
Mustafa Yumlu | CB | 38 | -1900 Bin € | Turkey
Fırat Şaşi | CB | 24 | -1900 Bin € | Turkey
Enes Yiğit | CB | 23 | - | Turkey
Cengizhan Bayrak | LB | 26 | -1900 Bin € | Turkey
Salih Sarıkaya | RB | 28 | -1900 Bin € | Turkey
Orhan Ovacıklı | RB | 37 | -1900 Bin € | Turkey
Adem Eren Kabak | DM | 25 | -1900 Bin € | Turkey
Murat Cem Akpınar | CM | 27 | -1900 Bin € | Turkey
Mert Önal | CM | 21 | - | Turkey
Martín Rodríguez | AM | 31 | -1900 Bin € | Chile
Fernando Andrade | LW | 33 | -1900 Bin € | Brazil
Furkan Özhan | LW | 25 | - | Turkey
İlkan Sever | ST | 21 | -1900 Bin € | Turkey
Cheikne Sylla | ST | 32 | -1900 Bin € | Mali
Hüsamettin Yener | ST | 31 | -1900 Bin € | Turkey
