İLK 11

Andreas Gianniotis | GK | 33 | 11.3 M € | Greece
Rodrigo Becão | CB | 30 | 13.5 M € | Brazil
Nicholas Opoku | CB | 28 | 12.5 M € | Ghana
Godfried Frimpong | LB | 26 | 13.0 M € | Netherlands
Cláudio Winck | RB | 31 | 11.8 M € | Brazil
Andri Fannar Baldursson | DM | 24 | 12.5 M € | Iceland
Kerem Demirbay | CM | 32 | 12.2 M € | Germany
Haris Hajradinovic | CAM | 32 | 12.5 M € | Bosnia
Adrian Benedyczak | LW | 25 | 13.5 M € | Poland
İrfan Can Kahveci | RW | 30 | 14.5 M € | Turkey
Pape Habib Guèye | ST | 26 | 12.5 M € | Senegal

YEDEK KULÜBESİ

Ali Emre Yanar | GK | 27 | 6.1 M € | Turkey
Ege Albayrak | GK | 18 | 6.0 M € | Turkey
Şant Kazancı | GK | 17 | 6.0 M € | Turkey
Adem Arous | CB | 21 | 7.0 M € | Tunisia
Taylan Aydın | CB | 20 | 6.3 M € | Turkey
Ahmet Taha Dağbaşı | CB | 21 | 6.0 M € | Turkey
Emre Taşdemir | LB | 30 | 6.1 M € | Turkey
Kamil Ahmet Çörekçi | RB | 34 | 6.1 M € | Turkey
Berkay Muratoğlu | RB | 18 | 6.0 M € | Turkey
Burak Gültekin | DM | 19 | 6.1 M € | Turkey
Eyüp Aydın | CM | 21 | 6.8 M € | Turkey
Cafú | CM | 33 | 6.3 M € | Portugal
Mortadha Ben Ouanes | LW | 31 | 7.5 M € | Tunisia
Ali Yavuz Kol | LW | 25 | 6.3 M € | Turkey
Erdem Çetinkaya | LW | 25 | 6.1 M € | Turkey
Jim Allevinah | RW | 31 | 7.2 M € | Gabon
Fousseni Diabaté | RW | 30 | 6.9 M € | Mali
Yusuf Barası | ST | 23 | 7.0 M € | Turkey
Kubilay Kanatsızkuş | ST | 29 | 6.5 M € | Turkey
Cenk Tosun | ST | 34 | 6.5 M € | Turkey
